rc=0
stdout=# tracer: nop
#
# entries-in-buffer/entries-written: 5209/5209   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [002] d..1. 17935.198765: lpm_gov_select: state:0 qos-us:44 sleep-us:2721302 reason:0x20
          <idle>-0       [001] d..1. 17935.198806: lpm_gov_select: state:0 qos-us:44 sleep-us:3087448 reason:0x20
          <idle>-0       [002] d..1. 17935.200119: lpm_gov_select: state:0 qos-us:44 sleep-us:1362 reason:0x200
          <idle>-0       [005] d..1. 17935.200168: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946937283 reason:0x800
          <idle>-0       [005] d..1. 17935.200776: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:9223363946936676 reason:0x0
          <idle>-0       [006] d..1. 17935.201093: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946936361707 reason:0x20
          <idle>-0       [002] d..1. 17935.201531: lpm_gov_select: state:0 qos-us:44 sleep-us:29150 reason:0x200
          <idle>-0       [001] d..1. 17935.201939: lpm_gov_select: state:0 qos-us:44 sleep-us:20743712 reason:0x20
          <idle>-0       [002] d..1. 17935.202455: lpm_gov_select: state:0 qos-us:44 sleep-us:28225848 reason:0x20
          <idle>-0       [001] d..1. 17935.202456: lpm_gov_select: state:0 qos-us:44 sleep-us:20222046 reason:0x20
          <idle>-0       [000] d..1. 17935.202534: lpm_gov_select: state:0 qos-us:44 sleep-us:147723 reason:0x20
          <idle>-0       [001] d..1. 17935.202593: lpm_gov_select: state:0 qos-us:44 sleep-us:20085744 reason:0x20
          <idle>-0       [005] d..1. 17935.202971: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946934482176 reason:0x20
          <idle>-0       [001] d..1. 17935.202988: lpm_gov_select: state:0 qos-us:44 sleep-us:19692879 reason:0x20
          <idle>-0       [001] d..1. 17935.203079: lpm_gov_select: state:0 qos-us:44 sleep-us:19599598 reason:0x20
          <idle>-0       [002] d..1. 17935.203168: lpm_gov_select: state:0 qos-us:44 sleep-us:7511265 reason:0x20
          <idle>-0       [005] d..1. 17935.203306: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946934145249 reason:0x20
          <idle>-0       [000] d..1. 17935.203337: lpm_gov_select: state:0 qos-us:44 sleep-us:3344494 reason:0x20
          <idle>-0       [001] d..1. 17935.203406: lpm_gov_select: state:0 qos-us:44 sleep-us:19272515 reason:0x20
          <idle>-0       [000] d..1. 17935.203426: lpm_gov_select: state:0 qos-us:44 sleep-us:3253504 reason:0x20
          <idle>-0       [001] d..1. 17935.203482: lpm_gov_select: state:0 qos-us:44 sleep-us:49948 reason:0x20
          <idle>-0       [001] d..1. 17935.203588: lpm_gov_select: state:0 qos-us:44 sleep-us:19089390 reason:0x20
          <idle>-0       [005] d..1. 17935.203603: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946933847957 reason:0x20
          <idle>-0       [000] d..1. 17935.203605: lpm_gov_select: state:0 qos-us:44 sleep-us:3074598 reason:0x20
          <idle>-0       [000] d..1. 17935.203833: lpm_gov_select: state:0 qos-us:44 sleep-us:2846212 reason:0x20
          <idle>-0       [001] d..1. 17935.203928: lpm_gov_select: state:0 qos-us:44 sleep-us:2750067 reason:0x20
          <idle>-0       [002] d..1. 17935.203949: lpm_gov_select: state:0 qos-us:44 sleep-us:6728608 reason:0x20
          <idle>-0       [000] d..1. 17935.203954: lpm_gov_select: state:0 qos-us:44 sleep-us:2727879 reason:0x20
          <idle>-0       [002] d..1. 17935.204931: lpm_gov_select: state:0 qos-us:44 sleep-us:5746942 reason:0x20
          <idle>-0       [002] d..1. 17935.205350: lpm_gov_select: state:0 qos-us:44 sleep-us:5326317 reason:0x20
          <idle>-0       [000] d..1. 17935.205359: lpm_gov_select: state:0 qos-us:44 sleep-us:1321056 reason:0x20
          <idle>-0       [007] d..1. 17935.205490: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:322047343 reason:0x20
          <idle>-0       [000] d..1. 17935.205652: lpm_gov_select: state:0 qos-us:44 sleep-us:1028973 reason:0x20
          <idle>-0       [007] d..1. 17935.206019: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:321516614 reason:0x20
          <idle>-0       [007] d..1. 17935.206042: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:321492604 reason:0x20
          <idle>-0       [001] d..1. 17935.206075: lpm_gov_select: state:0 qos-us:44 sleep-us:16603192 reason:0x20
          <idle>-0       [000] dn.1. 17935.206080: lpm_gov_select: state:0 qos-us:44 sleep-us:598817 reason:0x20
          <idle>-0       [007] d..1. 17935.206124: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:321410260 reason:0x20
          <idle>-0       [002] d..1. 17935.206138: lpm_gov_select: state:0 qos-us:44 sleep-us:4539181 reason:0x20
          <idle>-0       [002] d..1. 17935.206164: lpm_gov_select: state:0 qos-us:44 sleep-us:4513035 reason:0x20
          <idle>-0       [002] d..1. 17935.206187: lpm_gov_select: state:0 qos-us:44 sleep-us:4489077 reason:0x20
          <idle>-0       [002] d..1. 17935.206234: lpm_gov_select: state:0 qos-us:44 sleep-us:4442775 reason:0x20
          <idle>-0       [002] d..1. 17935.206266: lpm_gov_select: state:0 qos-us:44 sleep-us:4410900 reason:0x20
          <idle>-0       [002] d..1. 17935.206283: lpm_gov_select: state:0 qos-us:44 sleep-us:4393608 reason:0x20
          <idle>-0       [002] d..1. 17935.206309: lpm_gov_select: state:0 qos-us:44 sleep-us:4366837 reason:0x20
          <idle>-0       [002] d..1. 17935.206332: lpm_gov_select: state:0 qos-us:44 sleep-us:4344129 reason:0x20
          <idle>-0       [002] d..1. 17935.206355: lpm_gov_select: state:0 qos-us:44 sleep-us:4321629 reason:0x20
          <idle>-0       [002] d..1. 17935.206378: lpm_gov_select: state:0 qos-us:44 sleep-us:4298660 reason:0x20
          <idle>-0       [002] d..1. 17935.206404: lpm_gov_select: state:0 qos-us:44 sleep-us:4272306 reason:0x20
          <idle>-0       [002] d..1. 17935.206427: lpm_gov_select: state:0 qos-us:44 sleep-us:4249181 reason:0x20
          <idle>-0       [002] d..1. 17935.206451: lpm_gov_select: state:0 qos-us:44 sleep-us:4224962 reason:0x20
          <idle>-0       [002] d..1. 17935.206479: lpm_gov_select: state:0 qos-us:44 sleep-us:4197462 reason:0x20
          <idle>-0       [001] d..1. 17935.206519: lpm_gov_select: state:0 qos-us:44 sleep-us:16158765 reason:0x20
          <idle>-0       [007] d..1. 17935.206532: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:321002239 reason:0x20
          <idle>-0       [006] d..1. 17935.206552: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946930900405 reason:0x20
          <idle>-0       [007] d..1. 17935.206578: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:320956927 reason:0x20
          <idle>-0       [007] d..1. 17935.206596: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:320937916 reason:0x20
          <idle>-0       [007] d..1. 17935.206611: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:320923697 reason:0x20
          <idle>-0       [000] dn.1. 17935.206634: lpm_gov_select: state:0 qos-us:44 sleep-us:45535 reason:0x20
          <idle>-0       [007] d..1. 17935.206640: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:320894270 reason:0x20
          <idle>-0       [006] d..1. 17935.206653: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946930798842 reason:0x20
          <idle>-0       [000] d..1. 17935.206662: lpm_gov_select: state:0 qos-us:44 sleep-us:15275 reason:0x20
          <idle>-0       [001] d..1. 17935.206757: lpm_gov_select: state:0 qos-us:44 sleep-us:3921733 reason:0x20
          <idle>-0       [000] d..1. 17935.206781: lpm_gov_select: state:0 qos-us:44 sleep-us:3897515 reason:0x20
          <idle>-0       [002] d..1. 17935.206818: lpm_gov_select: state:0 qos-us:44 sleep-us:3861525 reason:0x20
          <idle>-0       [001] d..1. 17935.206853: lpm_gov_select: state:0 qos-us:44 sleep-us:3824390 reason:0x20
          <idle>-0       [000] d..1. 17935.206858: lpm_gov_select: state:0 qos-us:44 sleep-us:3819442 reason:0x20
          <idle>-0       [003] d..1. 17935.206883: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946930572801 reason:0x20
          <idle>-0       [007] d..1. 17935.207122: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:320414843 reason:0x20
          <idle>-0       [007] d..1. 17935.207156: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:320378697 reason:0x20
          <idle>-0       [007] d..1. 17935.207169: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:320365104 reason:0x20
          <idle>-0       [007] d..1. 17935.207203: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:320332291 reason:0x20
          <idle>-0       [007] d..1. 17935.207242: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:320292656 reason:0x20
          <idle>-0       [002] d..1. 17935.207266: lpm_gov_select: state:0 qos-us:44 sleep-us:3413452 reason:0x20
          <idle>-0       [007] d..1. 17935.207291: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:320243437 reason:0x20
          <idle>-0       [007] d..1. 17935.207305: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:320229479 reason:0x20
          <idle>-0       [000] d..1. 17935.207305: lpm_gov_select: state:0 qos-us:44 sleep-us:3373973 reason:0x20
