rc=0
stdout=# tracer: nop
#
# entries-in-buffer/entries-written: 224/224   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
    binder:940_4-8272    [001] ..... 18008.116336: suspend_resume: freeze_processes[0] end
    binder:940_4-8272    [001] ..... 18008.116343: suspend_resume: suspend_enter[3] end
    binder:940_4-8272    [001] ..... 18008.116358: suspend_resume: dpm_prepare[2] begin
    binder:940_4-8272    [001] ..... 18008.120047: suspend_resume: dpm_prepare[2] end
    binder:940_4-8272    [001] ..... 18008.120052: suspend_resume: dpm_suspend[2] begin
    binder:940_4-8272    [001] ..... 18008.121540: swrm_device_suspend: swrm_device_suspend: swrm state: 3
    binder:940_4-8272    [001] ..... 18008.121552: swrm_device_suspend: swrm_device_suspend: swrm state: 3
    binder:940_4-8272    [001] ..... 18008.121699: lpi_pinctrl_suspend: lpi_pinctrl_suspend: system suspend
    binder:940_4-8272    [000] ..... 18008.249466: suspend_resume: dpm_suspend[2] end
    binder:940_4-8272    [000] ..... 18008.249508: suspend_resume: dpm_suspend_late[2] begin
    binder:940_4-8272    [000] ..... 18008.256263: suspend_resume: dpm_suspend_late[2] end
    binder:940_4-8272    [000] ..... 18008.258016: suspend_resume: dpm_suspend_noirq[2] begin
    binder:940_4-8272    [000] ..... 18008.262476: suspend_resume: dpm_suspend_noirq[2] end
    binder:940_4-8272    [000] ..... 18008.262496: suspend_resume: CPU_OFF[1] begin
    binder:940_4-8272    [000] ..... 18008.271635: suspend_resume: CPU_OFF[1] end
    binder:940_4-8272    [000] ..... 18008.271639: suspend_resume: CPU_OFF[2] begin
    binder:940_4-8272    [000] ..... 18008.278526: suspend_resume: CPU_OFF[2] end
    binder:940_4-8272    [000] ..... 18008.278530: suspend_resume: CPU_OFF[3] begin
    binder:940_4-8272    [006] ..... 18008.282815: suspend_resume: CPU_OFF[3] end
    binder:940_4-8272    [006] ..... 18008.282819: suspend_resume: CPU_OFF[4] begin
    binder:940_4-8272    [006] ..... 18008.286556: suspend_resume: CPU_OFF[4] end
    binder:940_4-8272    [006] ..... 18008.286558: suspend_resume: CPU_OFF[5] begin
    binder:940_4-8272    [006] ..... 18008.289610: suspend_resume: CPU_OFF[5] end
    binder:940_4-8272    [006] ..... 18008.289611: suspend_resume: CPU_OFF[6] begin
    binder:940_4-8272    [000] ..... 18008.296169: suspend_resume: CPU_OFF[6] end
    binder:940_4-8272    [000] ..... 18008.296293: suspend_resume: CPU_ON[1] begin
    binder:940_4-8272    [000] ..... 18008.300984: suspend_resume: CPU_ON[1] end
    binder:940_4-8272    [000] ..... 18008.300997: suspend_resume: CPU_ON[2] begin
    binder:940_4-8272    [000] ..... 18008.305349: suspend_resume: CPU_ON[2] end
    binder:940_4-8272    [000] ..... 18008.305361: suspend_resume: CPU_ON[3] begin
    binder:940_4-8272    [000] ..... 18008.313444: suspend_resume: CPU_ON[3] end
    binder:940_4-8272    [000] ..... 18008.313459: suspend_resume: CPU_ON[4] begin
    binder:940_4-8272    [000] ..... 18008.317962: suspend_resume: CPU_ON[4] end
    binder:940_4-8272    [000] ..... 18008.317976: suspend_resume: CPU_ON[5] begin
    binder:940_4-8272    [000] ..... 18008.322563: suspend_resume: CPU_ON[5] end
    binder:940_4-8272    [000] ..... 18008.322578: suspend_resume: CPU_ON[6] begin
    binder:940_4-8272    [000] ..... 18008.327610: suspend_resume: CPU_ON[6] end
    binder:940_4-8272    [000] ..... 18008.327627: suspend_resume: dpm_resume_noirq[16] begin
    binder:940_4-8272    [001] ..... 18008.330839: suspend_resume: dpm_resume_noirq[16] end
    binder:940_4-8272    [002] ..... 18008.334877: suspend_resume: dpm_resume_early[16] begin
    binder:940_4-8272    [001] ..... 18008.338281: suspend_resume: dpm_resume_early[16] end
    binder:940_4-8272    [001] ..... 18008.338285: suspend_resume: dpm_resume[16] begin
    binder:940_4-8272    [002] ..... 18008.382504: suspend_resume: dpm_resume[16] end
    binder:940_4-8272    [002] ..... 18008.382508: suspend_resume: dpm_complete[16] begin
    binder:940_4-8272    [002] ..... 18008.384945: suspend_resume: dpm_complete[16] end
    binder:940_4-8272    [002] ..... 18008.384948: suspend_resume: resume_console[3] begin
    binder:940_4-8272    [002] ..... 18008.385028: suspend_resume: resume_console[3] end
    binder:940_4-8272    [002] ..... 18008.385031: suspend_resume: thaw_processes[0] begin
    binder:940_4-8272    [002] ..... 18008.397474: suspend_resume: thaw_processes[0] end
    binder:940_4-8272    [002] ..... 18008.836422: suspend_resume: suspend_enter[3] begin
    binder:940_4-8272    [002] ..... 18008.836435: suspend_resume: sync_filesystems[0] begin
    binder:940_4-8272    [002] ..... 18008.846128: suspend_resume: sync_filesystems[0] end
    binder:940_4-8272    [002] ..... 18008.846178: suspend_resume: freeze_processes[0] begin
    binder:940_4-8272    [001] ..... 18008.859927: suspend_resume: freeze_processes[0] end
    binder:940_4-8272    [001] ..... 18008.859931: suspend_resume: suspend_enter[3] end
    binder:940_4-8272    [001] ..... 18008.859943: suspend_resume: dpm_prepare[2] begin
    binder:940_4-8272    [001] ..... 18008.862578: suspend_resume: dpm_prepare[2] end
    binder:940_4-8272    [001] ..... 18008.862581: suspend_resume: dpm_suspend[2] begin
    binder:940_4-8272    [000] ..... 18008.864067: swrm_device_suspend: swrm_device_suspend: swrm state: 3
    binder:940_4-8272    [000] ..... 18008.864137: swrm_device_suspend: swrm_device_suspend: swrm state: 3
    binder:940_4-8272    [000] ..... 18008.864423: lpi_pinctrl_suspend: lpi_pinctrl_suspend: system suspend
    binder:940_4-8272    [000] ..... 18008.998198: suspend_resume: dpm_suspend[2] end
    binder:940_4-8272    [000] ..... 18008.998258: suspend_resume: dpm_suspend_late[2] begin
    binder:940_4-8272    [000] ..... 18009.005119: suspend_resume: dpm_suspend_late[2] end
    binder:940_4-8272    [000] ..... 18009.006885: suspend_resume: dpm_suspend_noirq[2] begin
    binder:940_4-8272    [000] ..... 18009.010901: suspend_resume: dpm_suspend_noirq[2] end
    binder:940_4-8272    [000] ..... 18009.010919: suspend_resume: CPU_OFF[1] begin
    binder:940_4-8272    [005] ..... 18009.019086: suspend_resume: CPU_OFF[1] end
    binder:940_4-8272    [005] ..... 18009.019090: suspend_resume: CPU_OFF[2] begin
    binder:940_4-8272    [005] ..... 18009.024983: suspend_resume: CPU_OFF[2] end
    binder:940_4-8272    [005] ..... 18009.024984: suspend_resume: CPU_OFF[3] begin
    binder:940_4-8272    [005] ..... 18009.029533: suspend_resume: CPU_OFF[3] end
    binder:940_4-8272    [005] ..... 18009.029534: suspend_resume: CPU_OFF[4] begin
    binder:940_4-8272    [005] ..... 18009.033811: suspend_resume: CPU_OFF[4] end
